"Business File Number","License Type","Entity Name","Trade Name","Current License Status","Expiration Date","Facility Street Number","Facility Pre-Direction","Facility Street Name","Facility Street Type","Facility Unit Number","Facility City","Facility Zip Code"
"2013-BFN-1069025","Retail Marijuana Store","CANNABIS KING, LLC","GREEN DRAGON COLORADO","License Issued - Active","6/24/2020 12:00:00 AM","930","W","BYERS","PL","","DENVER","80223"
"2015-BFN-0004354","Retail Marijuana Store","M.J.L.Q LLC","WHOLE MEDS","License Issued - Active","9/22/2019 12:00:00 AM","3450","N","BRIGHTON","BLVD","","DENVER","80216"
"2017-BFN-0000892","Retail Marijuana Inf Prod Mfg","WONDERLAND EDIBLES, LTD","WONDERLAND EDIBLES","License Issued - Active","3/20/2020 12:00:00 AM","5475","N","Peoria","ST","4-109","Denver","80239"
"2015-BFN-0008422","Med Marijuana Inf Prod Manuf","VENTURE PRODUCT CONSULTING, LLC","RIZE","License Issued - Active","5/12/2020 12:00:00 AM","4242","N","ELIZABETH","ST","2","DENVER","80216"
"2015-BFN-0000254","Med Marijuana Opt Prem Cultiv","EVERGREEN ENTERPRISES, LTD.","","License Issued - Active","6/8/2020 12:00:00 AM","1770","S","ACOMA","ST","","DENVER","80223"
"2015-BFN-0002107","Retail Marij Opt. Prem. Cultiv","ANIMAS HERBAL WELLNESS CENTER, INC","PROHIBITION HERB","License Issued - Active","6/23/2020 12:00:00 AM","1115","S","BANNOCK","ST","","DENVER","80223"
"2012-BFN-1061590","Med Marijuana Opt Prem Cultiv","JGB VENTURES, LLC","DANK, LLC","License Issued - Active","7/12/2020 12:00:00 AM","3835","N","ELM","ST","C","DENVER","80207"
"2013-BFN-1069815","Retail Marijuana Store","ALTITUDE WELLNESS CENTER. LLC","NATURE'S HERBS & WELLENSS DTC","License Issued - Active","10/31/2019 12:00:00 AM","3435","S","YOSEMITE","ST","200","DENVER","80231"
"2013-BFN-1070317","Retail Marijuana Store","RIVERROCK LLC","RIVERROCK","License Issued - Active","3/6/2020 12:00:00 AM","4935","N","YORK","ST","","DENVER","80216"
"2014-BFN-1070941","Retail Marij Opt. Prem. Cultiv","LITTLE MAN 54 LLC","","License Issued - Active","4/25/2020 12:00:00 AM","3819","N","QUENTIN","ST","","DENVER","80239"
"2010-BFN-1045623","Medical Marijuana Center","THE PURPLE DRAGON LLC","","License Issued - Active","12/13/2019 12:00:00 AM","2243","N","FEDERAL","BLVD","","DENVER","80211"
"2012-BFN-1060773","Med Marijuana Opt Prem Cultiv","LEVELS IV INC","LEVELS IV INC","License Issued - Active","1/25/2020 12:00:00 AM","4015","N","ELATI","ST","","DENVER","80216"
"2013-BFN-1064833","Med Marijuana Inf Prod Manuf","MILE HIGH DISTRIBUTING LLC",".","License Issued - Active","5/3/2020 12:00:00 AM","775","S","JASON","ST","","DENVER","80223"
"2013-BFN-1069384","Retail Marij Opt. Prem. Cultiv","WDG, INC.","BEMINDFUL","License Issued - Active","2/13/2020 12:00:00 AM","3880","N","Holly","ST","","Denver","80207"
"2013-BFN-1069633","Retail Marijuana Store","GM SANTA FE, LLC","GOLDEN MEDS","License Issued - Active","9/10/2019 12:00:00 AM","1410","S","SANTA FE","DR","","DENVER","80223"
"2018-BFN-0006829","Retail Marij Opt. Prem. Cultiv","HERBAL MEDICAL INSTITUTE, LLC","GREEN DRAGON PRODUCTS","License Issued - Active","2/20/2020 12:00:00 AM","4640","N","Ironton","St","","Denver","80239"
"2016-BFN-0004564","Retail Marijuana Inf Prod Mfg","BELLFLOWER, LLC","","License Issued - Active","11/2/2019 12:00:00 AM","1001","W","CENTER","AVE","","DENVER","80223"
"2016-BFN-0004374","Retail Marijuana Inf Prod Mfg","KIND LOVE, LLC","KIND LOVE","License Issued - Active","8/17/2019 12:00:00 AM","4890","N","JOLIET","ST","","DENVER","80239"
"2015-BFN-0000352","Retail Marijuana Store","MILE HIGH DISPENSARY, LLC","MILE HIGH DISPENSARY","License Issued - Active","2/26/2020 12:00:00 AM","1350","S","SHERIDAN","BLVD","1 & 2","DENVER","80232"
"2010-BFN-1045716","Medical Marijuana Center","GMC, LLC","GREEN MAN CANNABIS","License Issued - Active","9/9/2019 12:00:00 AM","7289","E","HAMPDEN","AVE","","DENVER","80224"
"2010-BFN-1045587","Medical Marijuana Center","GREEN KIWI 1, LLC","LIVWELL","License Issued - Active","9/9/2019 12:00:00 AM","3955","N","ONEIDA","ST","","DENVER","80207"
"2013-BFN-1069779","Retail Marij Opt. Prem. Cultiv","RR SERVICES LLC","","License Issued - Active","1/1/2020 12:00:00 AM","2252","S","KALAMATH","ST","B","DENVER","80223"
"2013-BFN-1070409","Retail Marij Opt. Prem. Cultiv","SUPER FARM, LLC","SUPER FARM","License Issued - Active","2/26/2020 12:00:00 AM","5395","E","39TH","AVE","","DENVER","80207"
"2014-BFN-1071977","Med Marijuana Opt Prem Cultiv","KEENS GREENS EDIBLES, LLC","","License Issued - Active","4/4/2020 12:00:00 AM","1015","W","EVANS","AVE","EB","DENVER","80223"
"2012-BFN-1060905","Med Marijuana Opt Prem Cultiv","MJLQ, LLC","WHOLE MEDS","License Issued - Active","9/25/2019 12:00:00 AM","5959","E","39TH","AVE","101","DENVER","80207"
"2013-BFN-1069100","Retail Marij Opt. Prem. Cultiv","4900 JACKSON STREET LLC","CHAMPION CANNABIS","License Issued - Active","1/24/2020 12:00:00 AM","4980","N","JACKSON","ST","","DENVER","80216"
"2013-BFN-1068868","Retail Marij Opt. Prem. Cultiv","JGB VENTURES, LLC","DANK","License Issued - Active","1/1/2020 12:00:00 AM","3835","N","ELM","ST","C","DENVER","80207"
"2015-BFN-0005868","Retail Marijuana Inf Prod Mfg","DENVER PACKAGING, COMPANY","","License Issued - Active","10/8/2019 12:00:00 AM","5100","N","COOK","ST","","DENVER","80216"
"2014-BFN-0004597","Med Marijuana Opt Prem Cultiv","BGOOD VENTURES, LLC","BGOOD","License Issued - Active","6/1/2020 12:00:00 AM","1031","W","CENTER","AVE","","DENVER","80223"
"2010-BFN-1045852","Medical Marijuana Center","HERBAL ALTERNATIVES, LLC","NEW BROADSTERDAM","License Issued - Active","9/10/2019 12:00:00 AM","2568","S","BROADWAY","ST","","DENVER","80210"
"2010-BFN-1047095","Medical Marijuana Center","ASCEND II, LLC","ASCEND II","License Issued - Active","6/5/2020 12:00:00 AM","3555","S","YOSEMITE","ST","","DENVER","80237"
"2014-BFN-1071058","Retail Marij Opt. Prem. Cultiv","BACK TO THE GARDEN HEALTH & WELLNESS CENTER LLC","BACK TO THE GARDEN HEALTH AND WELLNESS CENTER LLC","License Issued - Active","2/28/2020 12:00:00 AM","4500","N","JASON","ST","","DENVER","80211"
"2012-BFN-1060801","Med Marijuana Opt Prem Cultiv","MAHATMA GANGA, LLC","MAHATMA EXTREME CONCENTRATES","License Issued - Active","9/30/2019 12:00:00 AM","1045","W","45TH","AVE","","DENVER","80211"
"2015-BFN-0003648","Med Marijuana Opt Prem Cultiv","SUMMIT WELLNESS","DEN-REC DENVER RECRATIONAL DISPENSARY","License Issued - Active","10/27/2019 12:00:00 AM","1901","S","BANNOCK","ST","","DENVER","80223"
"2015-BFN-0006915","Med Marijuana Opt Prem Cultiv","ALTITUDE WELLNESS CENTER, LLC","NATURE'S HERBS AND WELLENESS DTC","License Issued - Active","1/13/2020 12:00:00 AM","1131","S","BANNOCK","ST","","DENVER","80223"
"2017-BFN-0007541","Retail Marij Opt. Prem. Cultiv","KTA, LLC","","License Issued - Active","2/7/2020 12:00:00 AM","12585","E","39TH","AVE","","DENVER","80239"
"2014-BFN-0005236","Retail Marijuana Store","COLORADO CANNABIS COMPANY LLC","PURE MEDICAL DISPENSARY","License Issued - Active","3/31/2020 12:00:00 AM","1133","","BANNOCK","ST","","DENVER","80204"
"2014-BFN-0004816","Retail Marij Opt. Prem. Cultiv","3B-38, LLC","BUDDY BOY","License Issued - Active","2/13/2020 12:00:00 AM","4600","N","IRONTON","ST","102","DENVER","80239"
"2010-BFN-1045691","Medical Marijuana Center","HERBAL HEALTH, LLC","LOCAL PRODUCT OF COLORADO","License Issued - Active","10/24/2019 12:00:00 AM","419","W","13TH","AVE","","DENVER","80204"
"2010-BFN-1045728","Medical Marijuana Center","DKC, LLC","DENVER KUSH CLUB","License Issued - Active","9/9/2019 12:00:00 AM","2615","","WELTON","ST","","DENVER","80205"
"2013-BFN-1066527","Med Marijuana Inf Prod Manuf","MAHATMA GANGA, LLC","MAHATMA EXTREME CONCENTRATES","License Issued - Active","9/30/2019 12:00:00 AM","1045","W","45TH","AVE","","DENVER","80211"
"2013-BFN-1069936","Retail Marij Opt. Prem. Cultiv","ORGANIC GREENS, INC","NATURAL REMEDIES","License Issued - Active","2/10/2020 12:00:00 AM","4675","N","Kingston","ST","","Denver","80239"
"2013-BFN-1070421","Retail Marijuana Store","THE HERBAL CURE, LLC","","License Issued - Active","5/15/2020 12:00:00 AM","985","S","LOGAN","ST","","DENVER","80209"
"2013-BFN-1070430","Retail Marijuana Store","HIGH STREET GROWERS LLC","","License Issued - Active","4/29/2020 12:00:00 AM","330","N","FEDERAL","BLVD","","DENVER","80219"
"2014-BFN-1070927","Retail Marijuana Inf Prod Mfg","MOUNTAIN HIGH SUCKERS LLC","MOUNTAIN HIGH SUCKERS","License Issued - Active","7/9/2020 12:00:00 AM","400","S","LIPAN","ST","11","DENVER","80223"
"2012-BFN-1060974","Med Marijuana Opt Prem Cultiv","RME GROUP, LLC","AFFINITY","License Issued - Active","6/28/2020 12:00:00 AM","5200","E","SMITH","RD","","Denver","80216"
"2013-BFN-1068928","Retail Marijuana Store","THE GREEN SOLUTION, LLC","","License Issued - Active","1/1/2020 12:00:00 AM","2601","W","ALAMEDA","AVE","","DENVER","80219"
"2013-BFN-1068857","Retail Marij Opt. Prem. Cultiv","4095 SHELTER, LLC","","License Issued - Active","1/13/2020 12:00:00 AM","695","N","Bryant","ST","","Denver","80204"
"2014-BFN-0003135","Med Marijuana Opt Prem Cultiv","STAYCON, LLC","CRAFT","License Issued - Active","12/17/2019 12:00:00 AM","688","N","BRYANT ST STE 100-105, 200","","","DENVER","80204"
"2015-BFN-0003958","Med Marijuana Opt Prem Cultiv","LITTLE MAN 54 LLC","","License Issued - Active","6/27/2020 12:00:00 AM","3819","N","QUENTIN","ST","","DENVER","80239"
"2016-BFN-0005815","Retail Marijuana Inf Prod Mfg","LARSEN GROUP II LLC","KJL COMPOUNDS","License Issued - Active","9/22/2019 12:00:00 AM","3215","E","42ND","AVE","","DENVER","80216"
"2015-BFN-0005050","Med Marijuana Inf Prod Manuf","NATURE MED, INC.","KIND-MEDS","License Issued - Active","8/21/2019 12:00:00 AM","745","N","Federal","","100","Denver",""
"2016-BFN-0002157","Retail Marij Opt. Prem. Cultiv","GREEN FIELDS LLC","GREENFIELDS","License Issued - Active","7/19/2020 12:00:00 AM","5200","E","Smith","","120","Denver",""
"2017-BFN-0000574","Retail Marijuana Inf Prod Mfg","J&P INVESTMENTS, LLC","NEWT BROTHERS ARTISANAL","License Issued - Active","4/27/2020 12:00:00 AM","3850","E","48TH","AVE","","DENVER","80216"
"2015-BFN-0000349","Med Marijuana Opt Prem Cultiv","KTA LLC","","License Issued - Active","4/14/2020 12:00:00 AM","12585","E","39TH","AVE","","DENVER","80239"
"2010-BFN-1046038","Medical Marijuana Center","TWOG-WALNUT, LLC","BUDDY BOY","License Issued - Active","9/11/2019 12:00:00 AM","3814","","WALNUT","ST","","DENVER","80205"
"2012-BFN-1060645","Med Marijuana Opt Prem Cultiv","DJR COLORADO, LLC","","License Issued - Active","2/21/2020 12:00:00 AM","4755","N","Lima","ST","","Denver","80239"
"2013-BFN-1070426","Retail Marij Opt. Prem. Cultiv","DELTA-9 DELIGHTS LLC","REEFER MADNESS","License Issued - Active","8/18/2019 12:00:00 AM","4425","E","46TH","AVE","A","DENVER","80216"
"2013-BFN-1070432","Retail Marij Opt. Prem. Cultiv","LIGHTSHADE LABS, LLC","LIGHTSHADE","License Issued - Active","2/26/2020 12:00:00 AM","3950","N","HOLLY","ST","","DENVER","80207"
"2013-BFN-1069353","Retail Marijuana Inf Prod Mfg","EPMM COLORADO, LLC","EDIPURE","License Issued - Active","1/9/2020 12:00:00 AM","4880","E","41ST","AVE","","DENVER","80216"
"2013-BFN-1070167","Retail Marijuana Inf Prod Mfg","GREEN CROSS COLORADO, LLC","GREEN CROSS COLORADO","License Issued - Active","1/2/2020 12:00:00 AM","660","N","BRYANT","ST","101","DENVER","80204"
"2014-BFN-1070940","Retail Marijuana Store","SERENITY MOON WELLNESS CENTER, LLC","FROSTED LEAF","License Issued - Active","4/29/2020 12:00:00 AM","399","S","HARRISON","ST","","DENVER","80209"
"2010-BFN-1048361","Medical Marijuana Center","HIGH COUNTRY SUPPLY, LLC","COLORADO HARVEST COMPANY","License Issued - Active","3/23/2020 12:00:00 AM","1178","S","KALAMATH","ST","","DENVER","80223"
"2010-BFN-1049031","Med Marijuana Inf Prod Manuf","MEDICALLY CORRECT, LLC","INCREDIBLES","License Issued - Active","4/16/2020 12:00:00 AM","1308","S","JASON","ST","","DENVER","80223"
"2013-BFN-1069209","Med Marijuana Opt Prem Cultiv","POTCO, LLC","POTCO","License Issued - Active","7/2/2020 12:00:00 AM","11101","E","51ST","AVE","","DENVER","80239"
"2013-BFN-1069063","Retail Marij Opt. Prem. Cultiv","FUTUREVISION, LTD","MEDICINE MAN","License Issued - Active","1/1/2020 12:00:00 AM","4750","N","NOME","ST","","DENVER","80239"
"2015-BFN-0004103","Med Marijuana Opt Prem Cultiv","TRILL EVOLUTIONS LLC","TRILL EVOLUTIONS","License Issued - Active","6/10/2020 12:00:00 AM","5550","N","JOLIET","ST","","DENVER","80239"
"2013-BFN-1068990","Retail Marij Opt. Prem. Cultiv","MAYFLOWER GROUP, LLC","THE HEALTH CENTER","License Issued - Active","1/1/2020 12:00:00 AM","4825","N","OAKLAND","ST","","DENVER","80239"
"2010-BFN-1045856","Medical Marijuana Center","WASH PARK BOUTIQUE LLC","LUCY SKY DISPENSARY","License Issued - Active","9/11/2019 12:00:00 AM","3480","S","GALENA","ST","B-4","DENVER","80231"
"2012-BFN-1061635","Med Marijuana Inf Prod Manuf","FIREHOUSE ORGANICS CENTRAL, LLC","FIREHOUSE ORGANICS","License Issued - Active","10/28/2019 12:00:00 AM","543","N","BRYANT","ST","","DENVER","80204"
"2012-BFN-1060522","Med Marijuana Opt Prem Cultiv","LIGHTSHADE LABS, LLC","LIGHTSHADE","License Issued - Active","1/8/2020 12:00:00 AM","3950","N","HOLLY","ST","","DENVER","80207"
"2012-BFN-1061638","Med Marijuana Opt Prem Cultiv","THE HERBAL CURE, LLC","","License Issued - Active","5/15/2020 12:00:00 AM","985","S","LOGAN","ST","","DENVER","80209"
"2013-BFN-1070078","Retail Marij Opt. Prem. Cultiv","ARMS HOLDINGS","THE HEALING TREE COMPANY","License Issued - Active","4/18/2020 12:00:00 AM","4455","N","GARFIELD","ST","100 & 110","DENVER","80216"
"2013-BFN-1069655","Retail Marij Opt. Prem. Cultiv","ALCC, LLC","THE DAB BY NEXT HARVEST","License Issued - Active","4/17/2020 12:00:00 AM","750","N","CANOSA","CT","","DENVER","80204"
"2014-BFN-1070937","Retail Marij Opt. Prem. Cultiv","FOX STREET WELLNESS LLC","","License Issued - Active","4/18/2020 12:00:00 AM","4773","N","FOX","ST","","DENVER","80216"
"2012-BFN-1060596","Med Marijuana Opt Prem Cultiv","ABUNDANT HEALTH DENVER, LLC","HERBAN UNDERGROUND, LLC","License Issued - Active","10/1/2019 12:00:00 AM","70","N","BROADWAY","","50","DENVER","80203"
"2013-BFN-1067496","Med Marijuana Inf Prod Manuf","THE GIVING TREE OF DENVER, LLC","","License Issued - Active","9/29/2019 12:00:00 AM","1255","S","HURON","ST","","DENVER","80223"
"2013-BFN-1069104","Retail Marij Opt. Prem. Cultiv","GHT LLC","SUMMIT CONCENTRATES","License Issued - Active","2/18/2020 12:00:00 AM","5020","E","41ST","AVE","","DENVER","80216"
"2013-BFN-1069108","Retail Marijuana Store","DOCTOR'S ORDERS, LLC","DOCTOR'S ORDERS","License Issued - Active","9/10/2019 12:00:00 AM","1406","W","38TH","AVE","","DENVER","80211"
"2013-BFN-1068936","Retail Marij Opt. Prem. Cultiv","CITI-MED, LLC","STARBUDS","License Issued - Active","6/13/2020 12:00:00 AM","4228","N","YORK","ST","101","DENVER","80216"
"2013-BFN-1068395","Med Marijuana Inf Prod Manuf","THCHOCOLATE LLC","","License Issued - Active","4/16/2020 12:00:00 AM","5231","N","MONROE","ST","100","DENVER","80216"
"2013-BFN-1068781","Med Marijuana Inf Prod Manuf","DENVER PACKAGING COMPANY","","License Issued - Active","6/26/2020 12:00:00 AM","5100","N","COOK","ST","","DENVER","80216"
"2015-BFN-0008126","Retail Marijuana Inf Prod Mfg","WPJJ, LLC","EUREKA VAPOR","License Issued - Active","5/16/2020 12:00:00 AM","2190","S","JASON","ST","","DENVER","80223"
"2016-BFN-0007399","Retail Marij Opt. Prem. Cultiv","DARK HORSE GENETICS, LLC","","License Issued - Active","2/23/2020 12:00:00 AM","2145","S","KALAMATH","ST","","DENVER","80223"
"2010-BFN-1045491","Medical Marijuana Center","HOLLY MEDICINAL SERVICES,LLC","THE CLINIC ON COLORADO","License Issued - Active","1/20/2020 12:00:00 AM","2020","S","COLORADO","BLVD","","DENVER","80222"
"2010-BFN-1045839","Medical Marijuana Center","WANNA LLC","NORTHERN LIGHTS CANNABIS CO","License Issued - Active","9/10/2019 12:00:00 AM","183","W","ALAMEDA","AVE","","DENVER","80223"
"2010-BFN-1045679","Medical Marijuana Center","DISCOUNT MEDICAL MARIJUANA, LLC","HIGH LEVEL HEALTH","License Issued - Active","5/18/2020 12:00:00 AM","2028","E","COLFAX","AVE","","DENVER","80206"
"2010-BFN-1045777","Medical Marijuana Center","WDG, INC.","BEMINDFUL","License Issued - Active","9/10/2019 12:00:00 AM","5926","E","COLFAX","AVE","","DENVER","80220"
"2012-BFN-1063854","Med Marijuana Opt Prem Cultiv","MILE HIGH MEDICAL CANNABIS, LLC","LIT","License Issued - Active","9/27/2019 12:00:00 AM","4611","E","46TH","AVE","","DENVER","80216"
"2013-BFN-1070105","Retail Marij Opt. Prem. Cultiv","HERBAL ALTERNATIVES, LLC","NEW BROADSTERDAM","License Issued - Active","2/24/2020 12:00:00 AM","2568","S","BROADWAY","","","DENVER","80210"
"2014-BFN-1073722","Retail Marijuana Test Facility","BONA FIDES LABORATORY, INC","","License Issued - Active","2/20/2020 12:00:00 AM","4910","N","FOX","ST","E","DENVER","80216"
"2012-BFN-1061544","Med Marijuana Opt Prem Cultiv","HERBAL ALTERNATIVES, LLC","NEW BROADSTERDAM","License Issued - Active","3/20/2020 12:00:00 AM","2568","S","BROADWAY","","","DENVER","80210"
"2013-BFN-1069431","Retail Marij Opt. Prem. Cultiv","KAZIMER LLC","","License Issued - Active","12/11/2019 12:00:00 AM","1233","W","ALAMEDA","AVE","","DENVER","80223"
"2014-BFN-0002501","Medical Marijuana Center","PHYSICIAN PREFERRED PRODUCTS, LLC","PHYSICIAN PREFERRED PRODUCTS, LLC","License Issued - Active","9/20/2019 12:00:00 AM","4080","N","GLOBEVILLE","RD","","DENVER","80216"
"2016-BFN-0007492","Retail Marijuana Store","KTA LLC","THE LODGE","License Issued - Active","6/2/2020 12:00:00 AM","3944","N","HIGH","ST","","DENVER","80205"
"2017-BFN-0002986","Retail Marij Opt. Prem. Cultiv","EJB VENTURES, LLC","HARMONY EXTRACTS","License Issued - Active","7/6/2020 12:00:00 AM","121","N","Mariposa","ST","","Denver","80223"
"2015-BFN-0000173","Retail Marijuana Store","THE OUNCE DEPOT LLC","THE FARMERS MARKET","License Issued - Active","5/5/2020 12:00:00 AM","2070","S","HURON","ST","","DENVER","80223"
"2010-BFN-1047947","Medical Marijuana Center","GREEN KIWI 2, LLC","LIVWELL","License Issued - Active","11/16/2019 12:00:00 AM","3980","N","FRANKLIN","ST","101","DENVER","80205"
"2010-BFN-1045824","Medical Marijuana Center","DJR COLORADO, LLC","","License Issued - Active","9/10/2019 12:00:00 AM","1620","","MARKET","ST","5W","DENVER","80202"
"2013-BFN-1064580","Med Marijuana Opt Prem Cultiv","NUTRITIONAL ELEMENTS LLC","THE HEALTH CENTER","License Issued - Active","9/27/2019 12:00:00 AM","4800","N","NOME","ST","","DENVER","80239"
"2014-BFN-0003250","Retail Marijuana Store","DENCO, LLC","","License Issued - Active","9/3/2019 12:00:00 AM","5155","E","46TH","AVE","","DENVER","80216"
"2010-BFN-1045916","Medical Marijuana Center","3B-FEDERAL1, LLC","BUDDY BOY","License Issued - Active","9/10/2019 12:00:00 AM","155","N","FEDERAL","BLVD","","DENVER","80219"
"2012-BFN-1061540","Med Marijuana Opt Prem Cultiv","KARMACEUTICALS, LLC","KARMACEUTICALS","License Issued - Active","7/29/2020 12:00:00 AM","1355","S","INCA","ST","","DENVER","80223"
"2013-BFN-1069174","Retail Marijuana Store","DJR COLORADO, LLC","","License Issued - Active","2/10/2020 12:00:00 AM","1620","","Market","","5W","Denver","80202"
"2013-BFN-1069134","Retail Marijuana Store","4625 EAST COLFAX, LLC","THE CLINIC ON COLFAX","License Issued - Active","3/6/2020 12:00:00 AM","4625","E","COLFAX","AVE","","DENVER","80220"
"2013-BFN-1069083","Retail Marij Opt. Prem. Cultiv","CARRICK-HARVEST, LLC","VERITAS FINE CANNABIS","License Issued - Active","1/15/2020 12:00:00 AM","4705","N","OAKLAND","ST","A","DENVER","80239"
"2013-BFN-1069410","Retail Marij Opt. Prem. Cultiv","JS INVESTMENTS LLC","EUFLORA","License Issued - Active","4/15/2020 12:00:00 AM","5300","","JOLIET","ST","","Denver","80239"
"2015-BFN-0004003","Med Marijuana Opt Prem Cultiv","MEDICINAL WELLNESS CENTER, LLC","","License Issued - Active","1/6/2020 12:00:00 AM","1255","W","VIRGINIA","AVE","","DENVER","80223"
"2015-BFN-0005899","Retail Marijuana Inf Prod Mfg","RMZ, LLC","","License Issued - Active","9/29/2019 12:00:00 AM","4875","E","41ST","AVE","","DENVER","80216"
